1,67
2,68
2,67
2,60
2,64
2,61
1,79
2,61
1,71
2,66
2,60
1,71
1,72
2,55
2,64
2,65
2,65
2,71
2,68
1,71
2,67
1,70
2,68
1,72
1,71
2,65
2,67
2,66
2,63
2,62
1,71
2,64
2,64
2,69
1,75
1,65
2,67
2,65
1,75
2,57
1,68
1,73
2,68
2,62
1,68
1,74
2,63
1,73
2,66
2,68
1,72
2,63
2,65
1,75
2,69
2,72
2,69
2,62
2,64
2,63
1,78
2,63
1,73
2,69
2,63
2,63
2,63
1,70
1,69
2,61
2,65
1,72
2,69
2,70
2,67
2,64
1,70
2,71
1,72
2,66
1,66
2,71
1,68
1,67
2,67
1,69
2,66
1,71
2,65
2,62
2,65
2,68
2,67
2,63
2,64
2,61
2,62
2,63
1,70
1,73
1,74
1,79
1,71
2,63
1,73
1,70
1,75
2,62
1,67
2,65
2,66
1,69
2,60
2,67
2,65
2,66
1,69
1,73
1,74
1,65
2,62
2,64
2,63
2,65
2,61
1,73
1,74
1,72
2,65
1,73
1,74
1,75
2,70
2,62
1,68
2,57
1,72
2,66
2,65
2,63
2,66
2,74
2,64
2,67
1,71
2,60
2,65
2,62
2,64
1,66
2,71
2,69
2,70
2,64
2,62
1,77
2,62
2,69
1,70
1,71
1,72
2,68
1,69
2,63
2,65
2,67
2,67
1,73
2,63
1,73
2,63
2,68
2,69
2,69
2,63
2,64
2,69
2,63
2,64
2,63
2,67
1,71
2,68
2,64
1,73
2,68
2,67
2,61
1,69
2,66
2,64
1,76
2,64
2,63
2,62
2,62
2,71
2,67
2,68
1,71
2,67
2,64
2,70
2,62
1,73
1,79
1,75
1,71
2,65
1,70
